,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
Cmtm7,-0.099948354,-0.10092114,-0.075776905,0.04805981,-0.15328716,-0.05989824,0.09287971,0.26212686,0.09573342,0.37180033,-0.031215366,-0.02246031,-0.106181554,0.14798616,-0.22853658,0.15706305,-0.04669596,0.25131142,-0.93004704,-0.031726263
Eomes,-0.1292275,0.37631035,0.003177595,0.19443975,0.38866833,0.17033224,0.20008732,-0.26549864,-0.11647814,0.11879859,-0.19862066,-0.92406464,0.20051935,0.21483675,-0.12178029,-0.39881283,-1.2806313,1.3730284,1.2200586,0.0064752437
Cx3cr1,-0.11938915,0.04675844,-0.33869326,-0.01966656,-0.48233578,-0.54183877,-0.15053353,0.3867477,-0.6271157,1.7475597,0.23189934,-0.0058094123,0.07776437,0.08002694,-1.6692019,0.21757995,-0.27041125,-0.92172575,3.247828,-0.3873334
Cck,0.16703068,-0.22013491,0.4759035,-0.47499216,-0.4136142,-0.69757307,0.03380442,0.35427463,-0.0073336507,1.7908058,0.40392584,-0.19748902,0.08434585,0.100397065,-1.192549,-0.04102883,1.4216472,-0.32182974,1.9436195,0.3052616
Tmem158,-0.052946787,-0.18174984,0.19140308,0.5026237,-0.46255976,-0.14527868,0.01253891,-0.11239784,-0.08910065,0.17327647,-0.15960613,-0.22707993,-0.14737675,-0.20892887,-0.79106086,0.4336155,-0.2752715,-0.1769268,-0.3162132,-0.12540685
Ccr2,-0.5554133,-0.0060787895,-0.48670194,-0.31049258,0.42835146,-0.5680745,-0.5735135,-0.19571288,-0.31829843,3.5724087,0.2502157,-0.64420533,0.10827205,-0.11674317,-2.9006543,-0.20900865,-0.25591454,-2.0830593,4.4537325,0.6572273
Tcn2,-0.12516136,0.021558944,-0.26895767,0.038786467,0.073675096,-0.06597893,0.08876952,0.15955228,-0.010088057,0.21920511,0.05540738,-0.0007506262,0.123134784,-0.10171554,0.28381246,0.2381584,0.64586794,0.26982915,0.8561677,0.21212548
Sec14l2,-0.19755208,-0.14039509,0.07189558,-0.0061193383,-0.13072427,-0.12603101,0.117620744,0.15747409,-0.081794344,0.40568247,-0.12577108,0.07319009,0.21274267,-0.0948438,0.31552675,-0.12543349,0.58329016,0.06747239,1.5242561,0.21654117
Pgam2,-0.043390766,0.31905052,0.42861512,-0.67817646,-0.32252264,0.114230946,0.071892306,-0.33191708,-0.035410535,1.647324,-0.39211795,-0.05487193,0.328774,-0.047070626,-0.7738617,0.39550832,-0.28902113,-0.28943017,1.4330964,-0.019587118
Myl7,-0.08623742,-0.029227931,0.36258817,-0.68477285,-0.03917923,0.025639726,-0.115164384,-0.27750582,-0.43795335,0.025512017,-0.0849811,-0.49555856,0.25276193,0.33466667,-1.2712686,0.15679015,0.42628318,0.07477326,-0.2989113,-0.23263906
Igfbp1,-0.14235882,-0.23594472,-0.3553661,-0.5992211,0.08527877,0.17779006,0.2317901,-0.05453147,-0.058625948,1.1438705,0.38109615,0.36036807,0.3424534,0.12376743,-0.25590926,-0.023208989,1.1065149,-0.5509717,3.3921494,0.34479132
Igfbp3,-0.09880559,0.26182422,-0.3775655,0.01499793,0.3385941,-0.27149078,0.08891333,-0.06055295,0.49057308,0.26630417,-0.035789363,-0.089271426,0.24624267,-0.21743554,-1.3691365,0.08468612,-0.27206615,0.092645735,0.5690482,0.14864434
Upp1,-0.2822947,-0.023151517,-0.106402755,-0.1056506,-0.25406235,-0.055836428,0.28502682,-0.38023198,0.030906236,0.76193875,-0.2975632,-0.3029177,0.09291323,0.06951902,-0.91720396,-0.14251485,-1.0686549,0.65091753,-0.5355067,0.8697677
Plek,-0.006378192,-0.26615942,-0.40518853,0.24413605,0.40233323,-0.43030584,-0.87942153,0.35706517,-0.011234431,0.9804997,-0.6107955,-0.6376671,0.09480991,0.37184817,-1.7572434,0.3195239,-0.3589598,-1.4183621,3.020391,0.6516165
Hba-x,-0.08016317,0.18298113,0.13108596,0.14059098,0.06752212,-0.089049995,-0.04464434,0.01618318,-0.021235941,-0.45276368,0.10483072,0.28749976,-0.08562639,-0.008011677,-0.34315094,-0.034353416,-0.028332261,-3.1568968,0.09414691,-0.03341509
Hba-a1,-0.07327356,0.19788548,0.21174362,0.1311192,0.07056953,-0.05345762,-0.06055286,0.027985007,-0.05543637,-0.42742375,0.18452674,0.24874756,-0.07180612,-0.031155366,-0.56605494,-0.07564461,-0.112509646,-3.4753454,0.6867867,-0.16457668
Hba-a2,-0.08037913,0.27122256,0.20919219,0.17317976,0.13891882,-0.04659,-0.018330626,0.070051424,-0.10088203,-0.3496633,0.1973425,0.24310356,-0.043226425,-0.09690758,-0.7455256,-0.08707325,-0.13373885,-3.5119143,1.0632515,-0.1788496
Timd2,-0.019766117,0.12694687,0.33812776,0.025362141,0.096228346,0.21017578,-0.1045669,0.1925971,-0.09488773,0.7329729,-0.021265237,-0.027286058,-0.34413332,0.10454726,0.2645112,0.20523696,0.80005854,-0.21730602,2.614035,0.100099176
Pdlim4,-0.17039643,0.27649122,-0.024699315,0.31949973,0.21852829,-0.04973451,-0.25373703,0.4696866,-0.08838066,0.24781159,0.06694997,-0.002376949,0.1649799,-0.21282944,-0.9970192,-0.5107733,0.7590426,0.39675507,-0.14723954,-0.15538456
P4ha2,-0.08103929,0.17143197,-0.26892075,-0.06494745,-0.08752608,-0.15490548,0.22285229,0.42832696,0.11312515,0.7100603,0.24889736,-0.0062083136,-0.22836836,-0.07827354,-0.7210895,0.18678474,0.28005376,0.26191854,0.09494917,-0.029596632
Gpx3,-0.09076724,0.19645068,0.2217449,0.0009071186,-0.051230986,-0.12319552,-0.060928706,0.21318789,0.08455603,0.012349457,-0.08965419,0.15492153,-0.03648659,-0.08764202,0.53841573,0.2642008,0.75934774,0.20571002,-0.6193749,0.072899885
Sparc,0.1441371,-0.24914917,-0.012702638,-0.1353931,0.18351652,-0.036286976,0.05714023,0.0675243,-0.060440272,0.08157998,0.12951016,0.18100658,-0.10399143,0.080662556,0.18657458,0.51535004,0.4562252,0.8194602,-0.8047494,0.12017125
Hand1,-0.033455,-0.14774205,-0.17456207,0.08507141,0.26437217,0.20646158,-0.06115017,0.2737907,0.06040056,2.2788486,0.014494642,-0.30229786,-0.0883455,0.08394554,-0.70962524,-0.3101812,-0.27660584,0.19734754,-0.69181955,-1.1414398
Fam183b,0.16153675,0.24568073,0.7910816,0.31300652,-0.19475332,-0.4374054,-0.81658113,-0.29061186,-0.16774167,1.039323,-0.589074,1.0417931,-0.3923926,-0.36580598,-1.1804482,-0.5567756,-0.29287493,-0.73934144,2.2879725,0.08307463
Drc3,-0.17569955,0.38414687,0.10178096,0.11039714,0.15684134,-0.13970365,-0.276702,-0.19315563,-0.31251138,0.587465,-0.17417271,0.2270073,-0.23457398,-0.72227293,-1.5877265,-0.24967492,-0.28894424,-0.30029422,1.914988,0.13610286
Grap,0.070736066,-0.52991205,0.47202894,0.6864583,0.09742926,-0.121694274,0.3555434,-0.34000838,0.08084806,1.3985981,-0.08576454,-0.65686417,0.100071415,-0.02015084,-1.2638005,0.2851313,0.09815819,-0.8617685,1.8177031,0.6134719
Adora2b,-0.03870125,-0.20468292,0.019906,0.26601064,-0.08032064,0.18083437,0.33731896,0.076169096,-0.062463265,0.20073485,0.11482611,-0.018722832,-0.1605575,-0.040285885,0.4242099,-0.0528083,0.75688756,0.23600036,1.567349,0.0033521543
Gm12280,0.0012337199,0.10887977,-0.39718372,-0.17770144,0.5241541,-0.20959081,0.07698685,0.041443404,-0.7909591,1.0660065,0.1309094,-0.15698427,-0.11977863,0.05227274,-1.7228521,0.112247445,-0.9711015,-0.818527,3.2111235,-0.045196615
Pmp22,-0.19938393,-0.24652156,-0.341457,0.22369844,0.2219987,0.25436527,0.085592836,-0.031990327,0.07835184,0.978417,-0.18046896,-0.13141364,-0.008800491,0.04813971,-1.2586588,0.3759907,0.6882875,-0.13005495,-0.42102396,-0.492519
Cfap52,-0.18463011,0.37474763,0.51551294,0.31349796,0.16125323,-0.12177216,-0.27815193,-0.4578359,-0.14119667,0.43172973,-0.43590048,0.23427363,-0.29793593,-0.54772186,-2.1499066,-0.42676827,-0.40443534,0.115675285,2.4078069,0.24890427
Hes7,-0.06517548,0.048665304,0.00085097516,0.25258747,0.13780254,-0.39951184,-0.33048648,0.23567256,0.7910331,0.49269217,-0.20708038,-0.14443271,-0.40557608,0.019967183,-1.5924369,-1.1998413,0.21733236,-0.41886315,0.94906145,0.59784657
Tmem88,-0.15246987,-0.09638601,-0.012436242,0.17007194,-0.004414225,0.2079315,0.13105254,-0.093769714,-0.020323806,-0.04137332,0.084437266,0.036712058,0.1015039,0.021186538,-1.3689033,0.49771056,0.4559807,0.5950681,-0.24529946,-0.44979045
Cldn7,-0.14659782,-0.15041429,-0.28175858,0.28067195,0.10432665,-0.3348396,-0.04142117,-0.36554152,0.05764633,-0.43833217,0.1161829,0.79997164,0.010727663,-0.049959943,0.84436226,0.07260129,-0.6862356,1.0112278,0.79818314,-0.20791192
